mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.11324238777160645,0.00775537273196111,0.049942334493001304,0.03539706375303551,,1,50,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.20131578947368406,-0.1463894736842101,-0.12966315789473706,-0.15912280701754375,0.030606407132934516,24,-0.047968421052631695,-0.05574736842105279,-0.05753333333333398,-0.05374970760233949,0.00415249911052361
0.18233521779378256,0.012067991128850418,0.05362168947855631,0.015055376743043861,,1,100,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.20009473684210652,-0.14878947368420978,-0.1264789473684221,-0.1584543859649128,0.03082076153075736,21,-0.051426315789471586,-0.057289473684210244,-0.05510175438596508,-0.05460584795321564,0.0024191730704506966
0.3287967840830485,0.007062661753176439,0.05113140741984049,0.008750723850524042,,1,200,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.1961394736842109,-0.15318157894736953,-0.13107105263157592,-0.16013070175438546,0.027014719264516877,26,-0.047147368421052695,-0.059246052631579296,-0.05642192982456127,-0.05427178362573109,0.005167971001838751
0.1077577273050944,0.019868360346261937,0.045532941818237305,0.022590755985731847,,3,50,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.1902898378522063,-0.14842676122123497,-0.12614047385363172,-0.15495235764235768,0.02659226431181232,9,-0.08321808840282507,-0.08510785543403962,-0.08491724650593045,-0.08441439678093171,0.0008494893534804063
0.20238121350606283,0.043466023650157726,0.050939718882242836,0.020521277759310837,,3,100,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.1880078398648137,-0.14741256968178,-0.12533574786324753,-0.1535853858032804,0.02595541720098247,3,-0.08257024948735463,-0.08491796622237414,-0.0840370663303558,-0.08384176068002819,0.0009683496922634557
0.38919949531555176,0.021475432254248823,0.09389567375183105,0.024568445142936823,,3,200,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.1841075664540131,-0.1526095852101114,-0.12812511758709105,-0.15494742308373852,0.02291444609450422,5,-0.07979441368572991,-0.0881530879281536,-0.08464404737806078,-0.08419718299731475,0.00342701275202607
0.11698349316914876,0.005822997632019963,0.07497843106587727,0.01224696813496061,,5,50,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.18848810844280406,-0.15708286571615498,-0.12597743200126327,-0.15718280205340743,0.025519974630974565,15,-0.10479430425683878,-0.10800798842239623,-0.1024999890204034,-0.10510076056654614,0.0022590486132304938
0.22536301612854004,0.06514770817916624,0.04899168014526367,0.009408804910293457,,5,100,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.18615633279078608,-0.15470511823971642,-0.1276765952462701,-0.15617934875892417,0.02389700040502561,10,-0.10586683242734449,-0.10581018018089201,-0.10142205265135296,-0.10436635508652982,0.0020820646790463116
0.336162010828654,0.001944033342927161,0.054348389307657875,0.007910215826857614,,5,200,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.18217254446884287,-0.15940497703032985,-0.13020633055790795,-0.15726128401902692,0.021269201706603746,18,-0.10470776561849977,-0.10875634553955386,-0.10103599963008925,-0.10483337026271429,0.0031530691540606333
0.09445436795552571,0.005961110119289693,0.03291153907775879,0.0072991723376627776,8,1,50,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.20131578947368425,-0.1447921052631573,-0.12914862155388496,-0.15841883876357551,0.030997751862672146,20,-0.047968421052631695,-0.055616666666666786,-0.05729535087719346,-0.05362681286549731,0.004059354924171769
